system:index,EVI,GREEN,LST_C,NDBI,NDVI,NDWI,NIR,RED,SWIR,YEAR,latitude,longitude,.geo
708,1.6607054148037756,851.5,24.342460880000004,-0.14819513,0.50551945,-0.49019608,2489.0,817.5,1846.5,2024,60.974093140660855,25.69590446036106,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.69590446036106,60.974093140660855]}"
709,2.0250337592188634,487.0,23.997240860000005,-0.2036373,0.709038,-0.6566191,2349.5,400.0,1554.5,2024,60.974093140660855,25.69671294411677,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.69671294411677,60.974093140660855]}"
710,2.474066390041494,379.5,24.412530290000007,-0.29270127,0.7993297,-0.69964385,2147.5,239.5,1175.0,2024,60.974093140660855,25.69725193328724,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.69725193328724,60.974093140660855]}"
711,1.8955425484016208,584.0,23.530681130000005,-0.13870458,0.53951305,-0.5104778,1802.0,539.0,1363.0,2024,60.974093140660855,25.698868900798654,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.698868900798654,60.974093140660855]}"
712,1.515515859383946,832.0,23.163243980000033,-0.10351887,0.4428643,-0.44310576,2156.0,832.5,1751.5,2024,60.974093140660855,25.69913839538389,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.69913839538389,60.974093140660855]}"
713,1.4826188428939935,910.5,22.942781690000032,-0.086123176,0.39664805,-0.40009883,2125.0,918.0,1788.0,2024,60.974093140660855,25.699677384554363,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.699677384554363,60.974093140660855]}"
714,2.4227089428322923,590.0,23.15811695000002,-0.24129242,0.7995825,-0.7077761,3448.0,384.0,2107.5,2024,60.97436263524609,25.600233882602332,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.600233882602332,60.97436263524609]}"
715,0.6056079664570231,757.0,24.32024375000003,-0.037909377,0.33285323,-0.5069207,2313.5,1158.0,2144.5,2024,60.97436263524609,25.601850850113745,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.601850850113745,60.97436263524609]}"
716,0.6056079664570231,757.0,24.947450420000052,-0.037909377,0.33285323,-0.5069207,2313.5,1158.0,2144.5,2024,60.97436263524609,25.60212034469898,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.60212034469898,60.97436263524609]}"
717,0.9805579036348266,854.5,24.947450420000052,-0.015255906,0.33874106,-0.4142245,2063.0,1019.0,2001.0,2024,60.97436263524609,25.602389839284218,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.602389839284218,60.97436263524609]}"
718,0.3064561012940031,735.0,25.275580340000005,-0.20258337,0.23933713,-0.51259947,2281.0,1400.0,1512.5,2024,60.97436263524609,25.603198323039926,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.603198323039926,60.97436263524609]}"
719,2.3924197285666997,944.5,24.20232206000003,-0.1393643,0.44968113,-0.42311803,2330.0,884.5,1760.0,2024,60.97436263524609,25.60562377430705,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.60562377430705,60.97436263524609]}"
720,2.2242113412037936,631.0,24.20232206000003,-0.1946865,0.6917983,-0.6332994,2810.5,512.0,1894.5,2024,60.97436263524609,25.605893268892284,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.605893268892284,60.97436263524609]}"
721,2.2242113412037936,631.0,23.80070471000002,-0.1946865,0.6917983,-0.6332994,2810.5,512.0,1894.5,2024,60.97436263524609,25.60616276347752,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.60616276347752,60.97436263524609]}"
722,2.3169305154799966,552.5,23.80070471000002,-0.29322296,0.79311264,-0.71746355,3358.5,387.5,1835.5,2024,60.97436263524609,25.606432258062757,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.606432258062757,60.97436263524609]}"
723,1.5619527145359018,1009.5,22.583889590000013,0.024142662,0.25092316,-0.27582496,1778.5,1065.0,1866.5,2024,60.97436263524609,25.61020518225606,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.61020518225606,60.97436263524609]}"
724,1.412258064516129,583.0,20.035755680000022,-0.175154,0.6194114,-0.6614893,2861.5,672.5,2008.5,2024,60.97436263524609,25.615056084790304,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.615056084790304,60.97436263524609]}"
725,0.8378201396973224,813.5,18.783051349999994,-0.09940933,0.35733128,-0.45775703,2187.0,1035.5,1791.5,2024,60.97436263524609,25.617481536057426,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.617481536057426,60.97436263524609]}"
